Topic,Historical Context,Question,Answer
History,The 1970 declaration by General Yakubu Gowon aimed to promote national reconciliation after the Nigerian Civil War without assigning blame.,What phrase was coined by General Yakubu Gowon in 1970 to foster unity and national reconciliation after the Nigerian Civil War?,No Victor No Vanquished
History,Anthony Azekwoh's modern oil painting captures the collective memory and emotional weight of Nigeria's post-war transition.,Which modern oil painting by Anthony Azekwoh serves as a visual exploration of Nigeria's post-war national trauma and identity?,No Victor No Vanquished
History,The amalgamation of northern and southern territories by British colonial administration laid the geographical foundation of modern Nigeria.,In what year was Nigeria officially amalgamated under the direction of Sir Frederick Lugard?,1914
History,The transition from colonial rule to self-governance culminated in a massive national celebration in Lagos.,On what exact date did Nigeria gain its independence from British colonial rule?,1-Oct-60
History,The collapse of the First Republic led to a structural shift from regional governance to a federal state structure.,"In what year did Nigeria officially become a Federal Republic, severing its remaining constitutional ties to the British monarchy?",1963
Culture,The ancient Nok civilization of central Nigeria produced some of the earliest refined art traditions in West Africa.,"What type of distinct sculptures, dating back to 1500 BC, is the ancient Nok Culture famous for?",Terracotta sculptures
Culture,The convergence of diverse linguistic groups across the Niger and Benue rivers created a rich multi-ethnic tapestry.,"Nigeria is home to how many distinct ethnic groups, with Hausa, Yoruba, and Igbo being the largest?",Over 250
Culture,The rapid evolution of the domestic film ecosystem in Lagos during the 1990s created a massive global entertainment export.,"What is the popular name of Nigeria's film industry, which is globally recognized as one of the largest film producers by volume?",Nollywood
Geography,The geographical unique point where Nigeria's two largest rivers meet forms a prominent 'Y' shape on the national map.,"At which city, the current capital of Kogi State, do the Niger and Benue rivers converge?",Lokoja
Geography,The preservation of West Africa's remaining dense rainforest tracts led to the creation of protected biodiversity zones.,Which national park in Nigeria holds one of the oldest and most biodiverse rainforests in Africa?,Cross River National Park
Tech,The explosive growth of Lagos as a venture capital and software engineering hub earned it a prominent global tech moniker.,Which suburb in Lagos is widely referred to as the 'Silicon Lagoon' due to its high concentration of tech startups?,Yaba
Tech,The launch of indigenous communication satellites marked Nigeria's entry into orbital space technology for telecommunications.,"Launched in 2007, what was the name of Africa's first communication satellite?",NigComSat-1
